Comunidad;Codigo Provincia;Provincia;Municipio;Votos;blancos;nulos;P.P.;P.S.O.E.;I.U.;CiU;UPyD
Andalucía                     ;4;Almería                       ;Abla                                                                                                ;925;6;7;403;516;0;0;0
Andalucía                     ;4;Almería                       ;Abrucena                                                                                            ;1.017;2;8;550;461;4;0;0
Andalucía                     ;4;Almería                       ;Adra                                                                                                ;10.964;190;131;6.763;3.363;370;0;0
Andalucía                     ;4;Almería                       ;Albánchez                                                                                           ;504;19;2;175;310;0;0;0
Andalucía                     ;4;Almería                       ;Alboloduy                                                                                           ;588;8;7;346;234;0;0;0
Andalucía                     ;4;Almería                       ;Albox                                                                                               ;5.515;115;38;2.334;2.785;161;0;0
Andalucía                     ;4;Almería                       ;Alcolea                                                                                             ;673;1;4;26;369;277;0;0
Andalucía                     ;4;Almería                       ;Alcóntar                                                                                            ;488;2;4;359;127;0;0;0
Andalucía                     ;4;Almería                       ;Alcudia de Monteagud                                                                                ;148;3;2;12;43;0;0;0
Andalucía                     ;4;Almería                       ;Alhabia                                                                                             ;524;5;1;197;300;22;0;0
Andalucía                     ;4;Almería                       ;Alhama de Almería                                                                                   ;2.492;15;18;1.300;985;192;0;0
Andalucía                     ;4;Almería                       ;Alicún                                                                                              ;229;0;1;139;90;0;0;0
Andalucía                     ;4;Almería                       ;Almería                                                                                             ;76.559;1.784;1.054;44.785;17.474;6.615;0;2.814
Andalucía                     ;4;Almería                       ;Almócita                                                                                            ;142;2;3;39;97;0;0;0
Andalucía                     ;4;Almería                       ;Alsodux                                                                                             ;139;3;0;34;75;0;0;0
Andalucía                     ;4;Almería                       ;Antas                                                                                               ;1.853;29;20;955;603;0;0;0
Andalucía                     ;4;Almería                       ;Arboleas                                                                                            ;1.830;13;8;233;515;0;0;0
Andalucía                     ;4;Almería                       ;Armuña de Almanzora                                                                                 ;250;5;8;49;196;0;0;0
Andalucía                     ;4;Almería                       ;Bacares                                                                                             ;239;4;2;85;150;0;0;0
Andalucía                     ;4;Almería                       ;Bayárcal                                                                                            ;338;0;5;108;230;0;0;0
Andalucía                     ;4;Almería                       ;Bayarque                                                                                            ;182;3;4;63;114;0;0;0
Andalucía                     ;4;Almería                       ;Bédar                                                                                               ;474;4;4;143;327;0;0;0
